Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,Predicted,Cycles
-70967,-322661,125901.25,-196759.75,259.8944079,484.4323163,-0.840082148,-1.190359778,1.274821885,0.74899194,748709.9,748991.9399
-70858.5,-322525.5,125887.75,-196637.75,259.7338816,484.6797393,-0.840066625,-1.190381775,1.275472998,0.74853282,748237.9,748532.8204
-70750,-322390,125874.25,-196515.75,259.5733553,484.9274683,-0.8400511,-1.190403775,1.276124917,0.748073635,747765.94,748073.635
-70641.5,-322254.5,125860.75,-196393.75,259.4128289,485.1755039,-0.840035573,-1.190425777,1.276777642,0.747614384,747294.06,747614.3838
-70533,-322119,125847.25,-196271.75,259.2523026,485.4238467,-0.840020044,-1.190447784,1.277431175,0.747155067,746822,747155.0668
-70424.5,-321983.5,125833.75,-196149.75,259.0917763,485.6724972,-0.840004514,-1.190469793,1.278085519,0.746695684,746350.06,746695.684
-70316,-321848,125820.25,-196027.75,258.93125,485.921456,-0.839988982,-1.190491805,1.278740674,0.746236235,745878.1,746236.2354
-70207.5,-321712.5,125806.75,-195905.75,258.7707237,486.1707237,-0.839973449,-1.190513821,1.279396641,0.745776721,745406.2,745776.7211
-70099,-321577,125793.25,-195783.75,258.6101974,486.4203008,-0.839957914,-1.19053584,1.280053423,0.745317141,744934.25,745317.1411
-69990.5,-321441.5,125779.75,-195661.75,258.4496711,486.670188,-0.839942377,-1.190557862,1.280711021,0.744857495,744462.3,744857.4955
-69882,-321306,125766.25,-195539.75,258.2891447,486.9203858,-0.839926838,-1.190579887,1.281369436,0.744397784,743990.3,744397.7842
-69773.5,-321170.5,125752.75,-195417.75,258.1286184,487.1708948,-0.839911298,-1.190601915,1.28202867,0.743938007,743518.4,743938.0072
-69665,-321035,125739.25,-195295.75,257.9680921,487.4217155,-0.839895756,-1.190623946,1.282688725,0.743478165,743046.5,743478.1647
-69556.5,-320899.5,125725.75,-195173.75,257.8075658,487.6728486,-0.839880213,-1.190645981,1.283349602,0.743018257,742574.56,743018.2565
-69448,-320764,125712.25,-195051.75,257.6470395,487.9242946,-0.839864668,-1.190668019,1.284011302,0.742558283,742102.6,742558.2829
-69339.5,-320628.5,125698.75,-194929.75,257.4865132,488.1760542,-0.839849121,-1.19069006,1.284673827,0.742098244,741630.6,742098.2437
-69231,-320493,125685.25,-194807.75,257.3259868,488.4281278,-0.839833572,-1.190712104,1.285337179,0.741638139,741158.6,741638.139
-69122.5,-320357.5,125671.75,-194685.75,257.1654605,488.6805162,-0.839818022,-1.190734152,1.286001358,0.741177969,740686.75,741177.9689
-69014,-320222,125658.25,-194563.75,257.0049342,488.9332198,-0.83980247,-1.190756202,1.286666368,0.740717733,740214.75,740717.7334
-68905.5,-320086.5,125644.75,-194441.75,256.8444079,489.1862394,-0.839786917,-1.190778256,1.287332209,0.740257432,739742.9,740257.4324
-68797,-319951,125631.25,-194319.75,256.6838816,489.4395754,-0.839771361,-1.190800313,1.287998883,0.739797066,739270.9,739797.066
-68688.5,-319815.5,125617.75,-194197.75,256.5233553,489.6932284,-0.839755805,-1.190822373,1.288666391,0.739336634,738799,739336.6343
-68580,-319680,125604.25,-194075.75,256.3628289,489.9471991,-0.839740246,-1.190844436,1.289334735,0.738876137,738327,738876.1373
-68471.5,-319544.5,125590.75,-193953.75,256.2023026,490.2014881,-0.839724686,-1.190866503,1.290003916,0.738415575,737855,738415.575
-68363,-319409,125577.25,-193831.75,256.0417763,490.4560959,-0.839709124,-1.190888573,1.290673937,0.737954947,737383.1,737954.9474
